slug,archetype,confidence,importance,difficulty,module,topic,title,file
chaos-engineering-java-microservices-game-days,A,medium,,medium,unit-testing,chaos-testing,Chaos Engineering for Java Microservices: From Game Days to Continuous Chaos,content/java-backend-intermediate/unit-testing/chaos-testing/complete-qa.json
test-pyramid-vs-trophy-vs-diamond-testcontainers-vs-mocks-contract-vs-e2e,B,high,,medium,unit-testing,comparisons,"Modern Testing Strategies Compared: Pyramid, Trophy, Diamond, Testcontainers vs Mocks, Contract vs E2E",content/java-backend-intermediate/unit-testing/comparisons/complete-qa.json
consumer-driven-contract-testing-pact-spring-cloud,A,medium,,medium,unit-testing,contract-testing,Consumer-Driven Contract Testing with Pact and Spring Cloud Contract,content/java-backend-intermediate/unit-testing/contract-testing/complete-qa.json
mockito-mock-spy-mockbean,B,medium,,medium,unit-testing,mocking-with-mockito,Mockito: @Mock vs @Spy vs @MockBean,content/java-backend-intermediate/unit-testing/mocking-with-mockito/complete-qa.json
performance-load-stress-soak-spike-testing-java,A,medium,,medium,unit-testing,performance-testing,"Performance Testing for Java Backends: Load, Stress, Soak, Spike",content/java-backend-intermediate/unit-testing/performance-testing/complete-qa.json
mockmvc-controller-testing,A,medium,,medium,unit-testing,spring-boot-testing,MockMvc for Controller Testing,content/java-backend-intermediate/unit-testing/spring-boot-testing/complete-qa.json
spring-test-slices-comparison,B,medium,,medium,unit-testing,spring-boot-testing,Test Slices: @WebMvcTest vs @DataJpaTest vs @SpringBootTest,content/java-backend-intermediate/unit-testing/spring-boot-testing/complete-qa.json
springboottest-and-slice-variants,A,medium,,medium,unit-testing,spring-boot-testing,@SpringBootTest and Its Slice Variants,content/java-backend-intermediate/unit-testing/spring-boot-testing/complete-qa.json
tdd-practices-red-green-refactor-java-spring,A,medium,,medium,unit-testing,tdd-practices,"TDD in Practice for Java/Spring: Red-Green-Refactor, BDD, Mocking, Pitfalls",content/java-backend-intermediate/unit-testing/tdd-practices/complete-qa.json
test-automation-strategy-pyramid-flakiness-java,A,medium,,medium,unit-testing,test-automation,"Test Automation Strategy for Java Microservices: Pyramid, Flakiness, CI",content/java-backend-intermediate/unit-testing/test-automation/complete-qa.json
datajpatest-with-testcontainers,A,medium,,medium,unit-testing,testcontainers,Testing with @DataJpaTest and Testcontainers,content/java-backend-intermediate/unit-testing/testcontainers/complete-qa.json
testcontainers-real-database-integration,A,medium,,medium,unit-testing,testcontainers,Testcontainers: Real Databases in Integration Tests,content/java-backend-intermediate/unit-testing/testcontainers/complete-qa.json
modern-test-pyramid-diamond-strategies-java,B,medium,,medium,unit-testing,testing-strategies,Modern Test Strategy: Pyramid vs Diamond vs Trophy for Java Services,content/java-backend-intermediate/unit-testing/testing-strategies/complete-qa.json
parameterized-test-method-source,A,medium,,medium,unit-testing,unit-testing-basics,@ParameterizedTest and @MethodSource in JUnit 5,content/java-backend-intermediate/unit-testing/unit-testing-basics/complete-qa.json
tdd-red-green-refactor,A,medium,,medium,unit-testing,unit-testing-basics,Test-Driven Development: Red-Green-Refactor Cycle,content/java-backend-intermediate/unit-testing/unit-testing-basics/complete-qa.json
unit-vs-integration-vs-e2e-testing,B,medium,,medium,unit-testing,unit-testing-basics,Unit vs Integration vs End-to-End Testing,content/java-backend-intermediate/unit-testing/unit-testing-basics/complete-qa.json
testing-kafka-embedded-kafka,A,medium,,hard,unit-testing,integration-testing,Testing Kafka with @EmbeddedKafka,content/java-backend-intermediate/unit-testing/integration-testing/complete-qa.json
testing-spring-security,A,medium,,hard,unit-testing,spring-boot-testing,Testing Spring Security (with and without Auth),content/java-backend-intermediate/unit-testing/spring-boot-testing/complete-qa.json
testing-async-completablefuture,A,medium,,hard,unit-testing,unit-testing-advanced,Testing Async / CompletableFuture Code,content/java-backend-intermediate/unit-testing/unit-testing-advanced/complete-qa.json
integration-testing-spring-boot,A,medium,,intermediate,unit-testing,integration-testing,"Integration Testing in Spring Boot — @SpringBootTest, @DataJpaTest, @WebMvcTest",content/java-backend-intermediate/unit-testing/integration-testing/complete-qa.json
mockito-mock-spy-verify-argumentcaptor,A,medium,,intermediate,unit-testing,mocking-with-mockito,"Mockito Deep Dive — @Mock, @Spy, verify(), ArgumentCaptor",content/java-backend-intermediate/unit-testing/mocking-with-mockito/complete-qa.json
mockmvc-testing-controllers,A,medium,,intermediate,unit-testing,spring-boot-testing,MockMvc — Testing REST Controllers Without Starting a Server,content/java-backend-intermediate/unit-testing/spring-boot-testing/complete-qa.json
testcontainers-spring-boot,A,medium,,intermediate,unit-testing,testcontainers,Testcontainers — Running Real Databases in Tests,content/java-backend-intermediate/unit-testing/testcontainers/complete-qa.json
code-coverage-jacoco-spring-boot,A,medium,,intermediate,unit-testing,unit-testing-advanced,Code Coverage with JaCoCo — What to Measure and What to Ignore,content/java-backend-intermediate/unit-testing/unit-testing-advanced/complete-qa.json
junit5-assertions-assertj,A,medium,,intermediate,unit-testing,unit-testing-basics,JUnit 5 Assertions and AssertJ — Fluent Test Assertions,content/java-backend-intermediate/unit-testing/unit-testing-basics/complete-qa.json
parameterized-tests-junit5,A,medium,,intermediate,unit-testing,unit-testing-basics,"Parameterized Tests in JUnit 5 — @ValueSource, @CsvSource, @MethodSource",content/java-backend-intermediate/unit-testing/unit-testing-basics/complete-qa.json
test-driven-development-tdd-java,A,medium,,intermediate,unit-testing,unit-testing-basics,Test-Driven Development (TDD) — Red-Green-Refactor in Java,content/java-backend-intermediate/unit-testing/unit-testing-basics/complete-qa.json
testing-exceptions-junit5,A,medium,,intermediate,unit-testing,unit-testing-basics,Testing Exceptions in JUnit 5 — assertThrows and Exception Messages,content/java-backend-intermediate/unit-testing/unit-testing-basics/complete-qa.json
unit-testing-best-practices-java,A,medium,,intermediate,unit-testing,unit-testing-basics,"Unit Testing Best Practices — Naming, Arrange-Act-Assert, Test Isolation",content/java-backend-intermediate/unit-testing/unit-testing-basics/complete-qa.json
