slug,archetype,confidence,importance,difficulty,module,topic,title,file
docker-vs-vm-virtualization-comparison,E,high,,easy,docker,comparisons,"Containers vs VMs: Architecture, Performance, and When to Use Each",content/java-backend-intermediate/docker/comparisons/complete-qa.json
docker-compose-spring-boot-postgres-redis,A,medium,,easy,docker,docker-compose,Docker Compose for Local Spring Boot + PostgreSQL + Redis Dev,content/java-backend-intermediate/docker/docker-compose/complete-qa.json
docker-health-checks-spring-boot,A,medium,,easy,docker,docker-fundamentals,Docker Health Checks for Spring Boot with Actuator,content/java-backend-intermediate/docker/docker-fundamentals/complete-qa.json
docker-volumes-named-vs-bind-mounts,B,medium,,easy,docker,docker-fundamentals,Docker Volumes: Named Volumes vs Bind Mounts,content/java-backend-intermediate/docker/docker-fundamentals/complete-qa.json
docker-container-cant-reach-host-service,D,high,,easy,docker,scenario-based,Container-to-Host Networking: Debugging localhost from Inside a Container,content/java-backend-intermediate/docker/scenario-based/complete-qa.json
jenkinsfile-structure-declarative,A,medium,,easy,jenkins,jenkins-pipelines,Jenkinsfile Structure and Syntax,content/java-backend-intermediate/jenkins/jenkins-pipelines/complete-qa.json
kubernetes-core-objects-pod-deployment-service,A,medium,,easy,kubernetes,kubernetes-workloads,"Kubernetes Core Objects: Pod, Deployment, Service, ConfigMap",content/java-backend-intermediate/kubernetes/kubernetes-workloads/complete-qa.json
github-actions-vs-jenkins-vs-gitlab-ci,B,high,,medium,cicd,comparisons,"GitHub Actions vs Jenkins vs GitLab CI: Hosting, Cost, Lock-in",content/java-backend-intermediate/cicd/comparisons/complete-qa.json
trunk-based-vs-gitflow-vs-github-flow,B,high,,medium,cicd,comparisons,"Branching Models Compared: Trunk-Based, GitFlow, GitHub Flow",content/java-backend-intermediate/cicd/comparisons/complete-qa.json
blue-green-canary-rolling-comparison,E,high,,medium,cicd,deployment-strategies,Rolling vs Blue-Green vs Canary Deployments: Which to Use When,content/java-backend-intermediate/cicd/deployment-strategies/complete-qa.json
feature-flags-trunk-based-development,A,medium,,medium,cicd,deployment-strategies,Feature Flags + Trunk-Based Development: Continuous Deployment Pattern,content/java-backend-intermediate/cicd/deployment-strategies/complete-qa.json
shift-left-testing-pipeline,A,medium,,medium,cicd,deployment-strategies,Shift-Left Testing in CI/CD: Catching Bugs Earlier,content/java-backend-intermediate/cicd/deployment-strategies/complete-qa.json
kubernetes-rollback-strategies,A,medium,,medium,cicd,rollback-strategies,"Kubernetes Rollback: kubectl undo, Helm rollback, GitOps revert",content/java-backend-intermediate/cicd/rollback-strategies/complete-qa.json
cicd-pipeline-suddenly-slow-debug,D,high,,medium,cicd,scenario-based,"Pipeline Suddenly Slow: Profile, Cache, Parallelize",content/java-backend-intermediate/cicd/scenario-based/complete-qa.json
docker-build-vs-buildah-vs-kaniko,B,high,,medium,docker,comparisons,Docker Build vs Buildah vs Kaniko: Image Builders Compared,content/java-backend-intermediate/docker/comparisons/complete-qa.json
docker-vs-podman-vs-containerd,B,high,,medium,docker,comparisons,Docker vs Podman vs containerd: Container Runtimes Compared,content/java-backend-intermediate/docker/comparisons/complete-qa.json
debugging-spring-boot-in-docker,D,medium,,medium,docker,docker-fundamentals,"Debugging Spring Boot in Docker: Logs, Exec, and Remote Debug",content/java-backend-intermediate/docker/docker-fundamentals/complete-qa.json
docker-container-resource-limits-jvm,A,medium,,medium,docker,docker-fundamentals,Container Resource Limits for JVM Apps: CPU and Memory Configuration,content/java-backend-intermediate/docker/docker-fundamentals/complete-qa.json
jvm-memory-docker-container-limits,B,medium,,medium,docker,docker-fundamentals,JVM Memory in Docker: -Xmx vs Container Limits and OOMKilled,content/java-backend-intermediate/docker/docker-fundamentals/complete-qa.json
docker-networking-bridge-host-overlay,B,medium,,medium,docker,docker-networking,Docker Networking: Bridge vs Host vs Overlay,content/java-backend-intermediate/docker/docker-networking/complete-qa.json
docker-environment-variables-vs-secrets,B,medium,,medium,docker,docker-security,Docker Secrets vs Environment Variables for Sensitive Config,content/java-backend-intermediate/docker/docker-security/complete-qa.json
docker-image-scanning-security-best-practices,A,medium,,medium,docker,docker-security,Docker Image Security: Scanning and Best Practices for Java,content/java-backend-intermediate/docker/docker-security/complete-qa.json
docker-non-root-user-java-security,A,medium,,medium,docker,docker-security,Running Non-Root User in Docker: Security Best Practice for Java,content/java-backend-intermediate/docker/docker-security/complete-qa.json
docker-layer-caching-optimization,A,medium,,medium,docker,multi-stage-builds,Docker Layer Caching: How It Works and Optimization Tips,content/java-backend-intermediate/docker/multi-stage-builds/complete-qa.json
multistage-dockerfile-spring-boot,A,medium,,medium,docker,multi-stage-builds,"Multi-Stage Dockerfile for Spring Boot: Smaller, Faster Images",content/java-backend-intermediate/docker/multi-stage-builds/complete-qa.json
docker-image-pull-rate-limit-fix,D,high,,medium,docker,scenario-based,"Docker Hub Rate Limits in CI: Mirror, Cache, and Auth Strategy",content/java-backend-intermediate/docker/scenario-based/complete-qa.json
spring-boot-container-oomkilled-debug,D,high,,medium,docker,scenario-based,Diagnosing OOMKilled in Spring Boot Container: Step-by-Step,content/java-backend-intermediate/docker/scenario-based/complete-qa.json
git-merge-vs-rebase-vs-squash,B,high,,medium,git-build-tools,comparisons,Git Merge vs Rebase vs Squash: Integration Strategy Compared,content/java-backend-intermediate/git-build-tools/comparisons/complete-qa.json
accidentally-committed-secret-to-git,D,high,,medium,git-build-tools,scenario-based,"Secret Committed to Git: Rotate, Purge, Prevent",content/java-backend-intermediate/git-build-tools/scenario-based/complete-qa.json
maven-vs-gradle-vs-bazel,B,high,,medium,java-build-tools,comparisons,Maven vs Gradle vs Bazel: When to Pick Each Build Tool,content/java-backend-intermediate/java-build-tools/comparisons/complete-qa.json
maven-build-fails-only-on-ci,D,high,,medium,java-build-tools,scenario-based,"Maven Works Locally, Fails on CI: Reproducibility Debug",content/java-backend-intermediate/java-build-tools/scenario-based/complete-qa.json
declarative-jenkins-pipeline-spring-boot,A,medium,,medium,jenkins,jenkins-pipelines,Declarative Jenkins Pipeline for Spring Boot,content/java-backend-intermediate/jenkins/jenkins-pipelines/complete-qa.json
jenkins-credentials-secrets-management,A,medium,,medium,jenkins,jenkins-pipelines,Jenkins Credentials and Secrets Management,content/java-backend-intermediate/jenkins/jenkins-pipelines/complete-qa.json
jenkins-sonarqube-integration,A,medium,,medium,jenkins,jenkins-pipelines,SonarQube Integration with Jenkins,content/java-backend-intermediate/jenkins/jenkins-pipelines/complete-qa.json
deployment-vs-statefulset-vs-daemonset,B,high,,medium,kubernetes,comparisons,"K8s Workload Types Compared: Deployment, StatefulSet, DaemonSet, Job",content/java-backend-intermediate/kubernetes/comparisons/complete-qa.json
kubernetes-vs-docker-swarm-vs-nomad,B,high,,medium,kubernetes,comparisons,Kubernetes vs Docker Swarm vs Nomad: Container Orchestration Compared,content/java-backend-intermediate/kubernetes/comparisons/complete-qa.json
gitops-argocd-flux-deployment-model,A,medium,,medium,kubernetes,helm,GitOps with ArgoCD and Flux: Declarative Deployment and Drift Detection,content/java-backend-intermediate/kubernetes/helm/complete-qa.json
helm-chart-structure-values-templating,A,medium,,medium,kubernetes,helm,"Helm Charts: Structure, Values Overrides, and Go Templating",content/java-backend-intermediate/kubernetes/helm/complete-qa.json
helm-release-lifecycle-upgrade-rollback,C,high,,medium,kubernetes,helm,"Helm Release Lifecycle: Install, Upgrade, Rollback, History",content/java-backend-intermediate/kubernetes/helm/complete-qa.json
