slug,archetype,confidence,importance,difficulty,module,topic,title,file
sast-vs-dast-vs-iast-vs-sca-security-scanning-comparison,B,high,,medium,application-security,comparisons,"Security Scanning Compared: SAST, DAST, IAST, SCA, Secrets, Container, IaC — and Token Formats",content/java-backend-intermediate/application-security/comparisons/complete-qa.json
compliance-soc2-pci-hipaa-gdpr-java-engineering,A,medium,,medium,application-security,compliance,"Compliance for Engineers: SOC 2, PCI-DSS, HIPAA, GDPR for Java Backends",content/java-backend-intermediate/application-security/compliance/complete-qa.json
encryption-at-rest-in-transit-key-management-java,A,medium,,medium,application-security,encryption,"Encryption at Rest, In Transit, and Key Management for Java Services",content/java-backend-intermediate/application-security/encryption/complete-qa.json
owasp-top-10-2021-java-spring-mitigations,A,medium,,medium,application-security,owasp-top-10,OWASP Top 10: Each Risk and Java/Spring Mitigations,content/java-backend-intermediate/application-security/owasp-top-10/complete-qa.json
secrets-management-vault-aws-secrets-kubernetes,A,medium,,medium,application-security,secrets-management,"Secrets Management: Vault, AWS Secrets Manager, and Kubernetes Patterns",content/java-backend-intermediate/application-security/secrets-management/complete-qa.json
secure-coding-practices-java-spring-boot,A,medium,,medium,application-security,secure-coding,"Secure Coding for Java/Spring: Input Validation, Output Encoding, Auth, Crypto, Dependencies",content/java-backend-intermediate/application-security/secure-coding/complete-qa.json
security-testing-sast-dast-sca-iast-pentest-java,A,medium,,medium,application-security,security-testing,"Security Testing for Java: SAST, DAST, SCA, IAST, Pen Testing in CI/CD",content/java-backend-intermediate/application-security/security-testing/complete-qa.json
vulnerability-scanning-cve-management-java,A,medium,,medium,application-security,vulnerability-scanning,Vulnerability Scanning and CVE Management for Java Services,content/java-backend-intermediate/application-security/vulnerability-scanning/complete-qa.json
production-aws-credentials-leaked-public-github-incident-response,D,high,,hard,application-security,scenario-based,Scenario: Leaked AWS Credentials in Public GitHub — Hour-by-Hour Incident Response and Remediation,content/java-backend-intermediate/application-security/scenario-based/complete-qa.json
security-architecture-zero-trust-defense-in-depth-java,A,medium,,hard,application-security,security-architecture,"Security Architecture for Java Microservices: Zero Trust, Defense in Depth",content/java-backend-intermediate/application-security/security-architecture/complete-qa.json
