slug,archetype,confidence,importance,difficulty,module,topic,title,file,status
checked-vs-unchecked-exception-java-comparison,B,high,high,easy,core-java,comparisons,"Checked vs Unchecked Exceptions in Java — Hierarchy, Compiler Rules, and Modern Design Guidance",content/java-backend-intermediate/core-java/comparisons/complete-qa.json,done-warn
throw-vs-throws-java-difference,E,high,high,easy,core-java,exception-handling,"`throw` vs `throws` in Java — Keyword, Clause, and When to Use Each",content/java-backend-intermediate/core-java/exception-handling/complete-qa.json,legacy
generics-in-java-introduction-and-benefits,A,medium,high,easy,core-java,generics-wildcards,"Java Generics — What They Solve, What They Give You, What Type Erasure Costs",content/java-backend-intermediate/core-java/generics-wildcards/complete-qa.json,legacy
java-io-streams-overview-byte-vs-character,B,medium,high,easy,core-java,java-io-nio,Java I/O Streams — Byte Streams vs Character Streams Explained,content/java-backend-intermediate/core-java/java-io-nio/complete-qa.json,legacy
what-is-reflection-in-java-use-cases,A,medium,high,easy,core-java,reflection-annotations,"Java Reflection — What It Is, Real Use Cases, and the Risks You Accept",content/java-backend-intermediate/core-java/reflection-annotations/complete-qa.json,legacy
string-equals-vs-contentequals-java,E,high,high,easy,core-java,string-handling,`String.equals()` vs `equalsIgnoreCase()` vs `contentEquals()` — Which to Use When,content/java-backend-intermediate/core-java/string-handling/complete-qa.json,legacy
why-string-is-immutable-in-java,A,medium,high,easy,core-java,string-handling,"Why `String` Is Immutable in Java — Security, Hashing, the String Pool, and Thread Safety",content/java-backend-intermediate/core-java/string-handling/complete-qa.json,legacy
big-o-notation-introduction-java,A,medium,high,easy,java-collections,algorithm-complexity,Big-O Notation — The Complexity Classes Every Java Developer Must Know,content/java-backend-intermediate/java-collections/algorithm-complexity/complete-qa.json,legacy
time-complexity-common-operations-java,A,medium,high,easy,java-collections,algorithm-complexity,Time Complexity of Java Collection Operations — The Cheat Sheet,content/java-backend-intermediate/java-collections/algorithm-complexity/complete-qa.json,legacy
array-vs-arraylist-java-comparison,E,high,high,easy,java-collections,comparisons,"Array vs ArrayList in Java — Primitives, Generics, Resize, and When to Use Each",content/java-backend-intermediate/java-collections/comparisons/complete-qa.json,legacy
stack-vs-queue-java-comparison,B,high,high,easy,java-collections,comparisons,"Stack vs Queue in Java — LIFO, FIFO, and Why to Use ArrayDeque Instead",content/java-backend-intermediate/java-collections/comparisons/complete-qa.json,legacy
dynamic-programming-introduction-java,A,medium,high,easy,java-collections,dynamic-programming,"Dynamic Programming — Optimal Substructure, Overlapping Subproblems, When to Apply",content/java-backend-intermediate/java-collections/dynamic-programming/complete-qa.json,legacy
fibonacci-dp-java,A,medium,high,easy,java-collections,dynamic-programming,"Fibonacci in Java — Naive Recursion, Memoization, Tabulation, O(1) Space",content/java-backend-intermediate/java-collections/dynamic-programming/complete-qa.json,legacy
check-anagram-java,B,medium,high,easy,java-collections,scenario-based,Check if Two Strings Are Anagrams — Sort vs Frequency Counter in Java,content/java-backend-intermediate/java-collections/scenario-based/complete-qa.json,legacy
java-sorting-algorithms-overview,A,medium,high,easy,java-collections,sorting-and-searching,"Java Sorting Algorithms — Overview, Complexity, and Stability",content/java-backend-intermediate/java-collections/sorting-and-searching/complete-qa.json,legacy
binary-tree-vs-binary-search-tree-java,B,medium,high,easy,java-collections,trees-and-graphs,"Binary Tree vs Binary Search Tree in Java — Properties, Complexity, Use Cases",content/java-backend-intermediate/java-collections/trees-and-graphs/complete-qa.json,legacy
what-is-completablefuture-java,A,medium,high,easy,java-concurrency,completable-future,What Is `CompletableFuture` in Java — Beyond `Future` to Composable Async,content/java-backend-intermediate/java-concurrency/completable-future/complete-qa.json,legacy
why-concurrent-collections-java,A,medium,high,easy,java-concurrency,concurrent-collections,"Why Concurrent Collections in Java — HashMap, synchronizedMap, and the Real Solutions",content/java-backend-intermediate/java-concurrency/concurrent-collections/complete-qa.json,legacy
synchronized-method-vs-block-java,B,medium,high,easy,java-concurrency,synchronization-and-locks,Synchronized Method vs Synchronized Block in Java — Granularity and Lock Object Tradeoffs,content/java-backend-intermediate/java-concurrency/synchronization-and-locks/complete-qa.json,legacy
what-is-synchronization-java,A,medium,high,easy,java-concurrency,synchronization-and-locks,What Is Synchronization in Java — Mutual Exclusion and Memory Visibility Explained,content/java-backend-intermediate/java-concurrency/synchronization-and-locks/complete-qa.json,legacy
why-use-thread-pool-java,A,medium,high,easy,java-concurrency,thread-pools-and-executor,"Why Use a Thread Pool in Java — Creation Cost, Bounded Concurrency, Graceful Shutdown",content/java-backend-intermediate/java-concurrency/thread-pools-and-executor/complete-qa.json,legacy
thread-sleep-vs-wait-java,E,high,high,easy,java-concurrency,threads-and-lifecycle,"`Thread.sleep()` vs `Object.wait()` — Lock Release, Recipients, and When to Use Each",content/java-backend-intermediate/java-concurrency/threads-and-lifecycle/complete-qa.json,legacy
thread-start-vs-run-java,B,medium,high,easy,java-concurrency,threads-and-lifecycle,`Thread.start()` vs `Thread.run()` — Why Calling `run()` Directly Is a Classic Bug,content/java-backend-intermediate/java-concurrency/threads-and-lifecycle/complete-qa.json,legacy
what-is-thread-in-java,A,medium,high,easy,java-concurrency,threads-and-lifecycle,"What Is a Thread in Java — `Thread`, `Runnable`, and Multithreading Explained",content/java-backend-intermediate/java-concurrency/threads-and-lifecycle/complete-qa.json,legacy
abstract-class-vs-interface-java-comparison,B,high,high,easy,java-oop,comparisons,Abstract Class vs Interface in Java 8+ — Complete Comparison with Decision Rules,content/java-backend-intermediate/java-oop/comparisons/complete-qa.json,legacy
optional-vs-null-java-comparison,B,high,high,easy,java-streams,comparisons,`Optional` vs `null` — Where Each Belongs,content/java-backend-intermediate/java-streams/comparisons/complete-qa.json,legacy
stream-vs-collection-java-comparison,B,high,high,easy,java-streams,comparisons,"Stream vs Collection — Different Beasts, Not Substitutes",content/java-backend-intermediate/java-streams/comparisons/complete-qa.json,legacy
java-records,A,medium,high,easy,java-streams,java-14-to-17-features,Java Records (Java 16+) — Concise Immutable Data Carriers,content/java-backend-intermediate/java-streams/java-14-to-17-features/complete-qa.json,legacy
pattern-matching-instanceof-java,A,medium,high,easy,java-streams,java-14-to-17-features,Pattern Matching for `instanceof` — Cleaner Downcasting (Java 16+),content/java-backend-intermediate/java-streams/java-14-to-17-features/complete-qa.json,legacy
switch-expressions,A,medium,high,easy,java-streams,java-14-to-17-features,"Switch Expressions in Java — Arrow Syntax, `yield`, Exhaustiveness",content/java-backend-intermediate/java-streams/java-14-to-17-features/complete-qa.json,legacy
java-10-var-local-variable-type-inference,A,medium,high,easy,java-streams,java-9-to-11-features,Java 10 `var` — Local Variable Type Inference,content/java-backend-intermediate/java-streams/java-9-to-11-features/complete-qa.json,legacy
java-9-factory-methods-list-of-set-of-map-of,A,medium,high,easy,java-streams,java-9-to-11-features,"Java 9 Immutable Collection Factories — `List.of`, `Set.of`, `Map.of`",content/java-backend-intermediate/java-streams/java-9-to-11-features/complete-qa.json,legacy
functional-interface-java-explained,A,medium,high,easy,java-streams,lambdas-functional-interfaces,Functional Interfaces in Java — Single Abstract Method Contracts,content/java-backend-intermediate/java-streams/lambdas-functional-interfaces/complete-qa.json,legacy
