slug,archetype,confidence,importance,difficulty,module,topic,title,file,status
message-broker-vs-message-bus-vs-event-bus-semantics,B,high,high,medium,messaging-events,comparisons,Message Broker vs Message Bus vs Event Bus,content/java-backend-intermediate/messaging-events/comparisons/complete-qa.json,done-warn
kafka-log-compaction-and-retention,B,medium,high,medium,messaging-events,kafka-architecture,Kafka Log Retention vs Log Compaction,content/java-backend-intermediate/messaging-events/kafka-architecture/complete-qa.json,legacy
kafka-streams-kstream-ktable-fundamentals,B,medium,high,medium,messaging-events,stream-processing,Kafka Streams: KStream vs KTable vs GlobalKTable,content/java-backend-intermediate/messaging-events/stream-processing/complete-qa.json,legacy
webhook-reliability-retry-exponential-backoff,A,medium,high,medium,messaging-events,webhooks,"Reliable Webhook Delivery: Retries, Idempotency, and DLQ",content/java-backend-intermediate/messaging-events/webhooks/complete-qa.json,legacy
webhook-security-hmac-signature-verification,A,medium,high,medium,messaging-events,webhooks,Webhook Security: HMAC-SHA256 Signatures and Replay Protection,content/java-backend-intermediate/messaging-events/webhooks/complete-qa.json,legacy
microservices-vs-serverless-vs-monolith-decision,B,high,high,medium,microservices,comparisons,Microservices vs Serverless vs Monolith: Decision Framework,content/java-backend-intermediate/microservices/comparisons/complete-qa.json,legacy
orchestration-vs-choreography-saga-comparison,B,high,high,medium,microservices,comparisons,Saga: Orchestration vs Choreography — Trade-offs and When to Choose Each,content/java-backend-intermediate/microservices/comparisons/complete-qa.json,legacy
cqrs-with-event-sourcing-spring-boot,A,medium,high,hard,messaging-events,cqrs,CQRS with Event Sourcing in Spring Boot,content/java-backend-intermediate/messaging-events/cqrs/complete-qa.json,legacy
kafka-broker-partition-leadership-isr,A,medium,high,hard,messaging-events,kafka-architecture,Kafka Partition Leadership and the In-Sync Replica Set,content/java-backend-intermediate/messaging-events/kafka-architecture/complete-qa.json,legacy
kafka-controller-election-kraft-vs-zookeeper,B,medium,high,hard,messaging-events,kafka-architecture,Kafka Controller: KRaft Quorum vs ZooKeeper,content/java-backend-intermediate/messaging-events/kafka-architecture/complete-qa.json,legacy
kafka-replication-and-durability,A,medium,high,hard,messaging-events,kafka-architecture,"Kafka Replication and Producer Durability: acks, Idempotence, Transactions",content/java-backend-intermediate/messaging-events/kafka-architecture/complete-qa.json,legacy
designing-idempotent-payment-microservice,D,high,high,hard,microservices,scenario-based,Designing an Idempotent Payment Microservice — Idempotency Key + Atomic Insert + Outbox,content/java-backend-intermediate/microservices/scenario-based/complete-qa.json,legacy
migrating-monolith-to-microservices-sequencing,D,high,high,hard,microservices,scenario-based,"Monolith-to-Microservices Migration: Sequencing, Strangler Fig, Database Decomposition",content/java-backend-intermediate/microservices/scenario-based/complete-qa.json,legacy
embedded-kafka-testing-spring-boot,A,medium,high,intermediate,messaging-events,kafka-architecture,Kafka Integration Testing with @EmbeddedKafka,content/java-backend-intermediate/messaging-events/kafka-architecture/complete-qa.json,legacy
acknowledgment-mode-manual-vs-auto,B,medium,high,intermediate,messaging-events,kafka-patterns,Kafka Acknowledgment Modes — Manual vs Auto,content/java-backend-intermediate/messaging-events/kafka-patterns/complete-qa.json,legacy
kafka-consumer-group-rebalancing,A,medium,high,intermediate,messaging-events,kafka-patterns,Consumer Group Rebalancing — Causes and Mitigation,content/java-backend-intermediate/messaging-events/kafka-patterns/complete-qa.json,legacy
kafka-consumer-lag-monitoring,A,medium,high,intermediate,messaging-events,kafka-patterns,Kafka Consumer Lag Monitoring and Alerting,content/java-backend-intermediate/messaging-events/kafka-patterns/complete-qa.json,legacy
kafka-headers-message-metadata,A,medium,high,intermediate,messaging-events,kafka-patterns,Kafka Message Headers — Metadata and Context Propagation,content/java-backend-intermediate/messaging-events/kafka-patterns/complete-qa.json,legacy
kafka-json-avro-serialization-spring,B,medium,high,intermediate,messaging-events,kafka-patterns,Kafka Serialization — JSON vs Avro in Spring,content/java-backend-intermediate/messaging-events/kafka-patterns/complete-qa.json,legacy
kafka-listener-partitions-groupid-concurrency,A,medium,high,intermediate,messaging-events,kafka-patterns,"@KafkaListener — Partitions, Consumer Groups, and Concurrency",content/java-backend-intermediate/messaging-events/kafka-patterns/complete-qa.json,legacy
kafka-producer-batching-compression,A,medium,high,intermediate,messaging-events,kafka-patterns,Kafka Producer Throughput — Batching and Compression,content/java-backend-intermediate/messaging-events/kafka-patterns/complete-qa.json,legacy
kafka-template-producer-factory-config,A,medium,high,intermediate,messaging-events,kafka-patterns,KafkaTemplate and ProducerFactory Configuration,content/java-backend-intermediate/messaging-events/kafka-patterns/complete-qa.json,legacy
retryable-topic-non-blocking-retry,A,medium,high,intermediate,messaging-events,kafka-patterns,@RetryableTopic — Non-Blocking Retry in Spring Kafka,content/java-backend-intermediate/messaging-events/kafka-patterns/complete-qa.json,legacy
transactional-kafka-producers-spring,A,medium,high,intermediate,messaging-events,kafka-patterns,Transactional Kafka with Spring — Consume-Process-Produce Atomically,content/java-backend-intermediate/messaging-events/kafka-patterns/complete-qa.json,legacy
dead-letter-exchange-retry,A,medium,high,intermediate,messaging-events,message-guarantees,Dead Letter Exchanges and Retry Strategies in RabbitMQ,content/java-backend-intermediate/messaging-events/message-guarantees/complete-qa.json,legacy
competing-consumers-pattern,D,high,high,intermediate,messaging-events,scenario-based,Competing Consumers Pattern in RabbitMQ,content/java-backend-intermediate/messaging-events/scenario-based/complete-qa.json,legacy
default-error-handler-seek-to-current,D,high,high,intermediate,messaging-events,scenario-based,Kafka Listener Error Handling — SeekToCurrentErrorHandler,content/java-backend-intermediate/messaging-events/scenario-based/complete-qa.json,legacy
api-gateway-spring-cloud-gateway,A,medium,high,intermediate,microservices,api-gateway,API Gateway with Spring Cloud Gateway,content/java-backend-intermediate/microservices/api-gateway/complete-qa.json,legacy
circuit-breaker-resilience4j,A,medium,high,intermediate,microservices,circuit-breaker,Circuit Breaker Pattern with Resilience4j,content/java-backend-intermediate/microservices/circuit-breaker/complete-qa.json,legacy
rest-vs-grpc-vs-messaging-interservice,B,medium,high,intermediate,microservices,communication-patterns,REST vs gRPC vs Messaging — Inter-Service Communication,content/java-backend-intermediate/microservices/communication-patterns/complete-qa.json,legacy
distributed-tracing-correlation-id,A,medium,high,intermediate,microservices,distributed-tracing,Distributed Tracing with Micrometer Tracing (Spring Boot 3),content/java-backend-intermediate/microservices/distributed-tracing/complete-qa.json,legacy
microservices-vs-monolith-when-to-split,B,medium,high,intermediate,microservices,fundamentals,Microservices vs Monolith — When to Split,content/java-backend-intermediate/microservices/fundamentals/complete-qa.json,legacy
strangler-fig-pattern-monolith-migration,A,medium,high,intermediate,microservices,migration-strategies,Strangler Fig Pattern — Monolith to Microservices Migration,content/java-backend-intermediate/microservices/migration-strategies/complete-qa.json,legacy
saga-pattern-distributed-transactions,A,medium,high,intermediate,microservices,saga-pattern,Saga Pattern — Distributed Transactions in Microservices,content/java-backend-intermediate/microservices/saga-pattern/complete-qa.json,legacy
database-per-microservice-patterns,A,medium,high,intermediate,microservices,service-design,Database-per-Service Pattern in Microservices,content/java-backend-intermediate/microservices/service-design/complete-qa.json,legacy
sidecar-pattern-service-mesh,A,medium,high,intermediate,microservices,service-mesh,Sidecar Pattern and Service Mesh (Istio),content/java-backend-intermediate/microservices/service-mesh/complete-qa.json,legacy
dto-pattern-request-response,A,medium,high,intermediate,rest-api,api-design,DTO Pattern — Why Never Expose Entities Directly in REST APIs,content/java-backend-intermediate/rest-api/api-design/complete-qa.json,legacy
rest-error-envelope-design,A,medium,high,intermediate,rest-api,api-design,REST Error Envelope Design,content/java-backend-intermediate/rest-api/api-design/complete-qa.json,legacy
rest-vs-websocket-vs-sse-realtime-patterns,B,high,high,intermediate,rest-api,comparisons,REST vs WebSocket vs SSE — Real-Time Pattern Decision,content/java-backend-intermediate/rest-api/comparisons/complete-qa.json,legacy
exception-handler-controller-advice,A,medium,high,intermediate,rest-api,error-handling,@ExceptionHandler and @ControllerAdvice for Centralised Error Handling,content/java-backend-intermediate/rest-api/error-handling/complete-qa.json,legacy
rfc7807-problemdetail-spring-boot,A,medium,high,intermediate,rest-api,error-handling,RFC 7807 ProblemDetail in Spring Boot 3,content/java-backend-intermediate/rest-api/error-handling/complete-qa.json,legacy
validation-error-response-shape,A,medium,high,intermediate,rest-api,error-handling,Validation Error Response Shape,content/java-backend-intermediate/rest-api/error-handling/complete-qa.json,legacy
hateoas-spring-boot,A,medium,high,intermediate,rest-api,hateoas,HATEOAS — Hypermedia-Driven REST APIs with Spring HATEOAS,content/java-backend-intermediate/rest-api/hateoas/complete-qa.json,legacy
openapi-swagger-springdoc,A,medium,high,intermediate,rest-api,openapi-and-swagger,OpenAPI Documentation with SpringDoc,content/java-backend-intermediate/rest-api/openapi-and-swagger/complete-qa.json,legacy
