slug,archetype,confidence,importance,difficulty,module,topic,title,file,status
oo-design-with-solid-and-composition,F,high,,intermediate,low-level-design,lld-fundamentals,Applying SOLID and Composition in LLD Problems,content/java-backend-intermediate/low-level-design/lld-fundamentals/complete-qa.json,done
design-parking-lot-system,F,high,,intermediate,low-level-design,parking-lot,Design a Parking Lot — Low-Level Design,content/java-backend-intermediate/low-level-design/parking-lot/complete-qa.json,legacy
design-vending-machine,F,high,,intermediate,low-level-design,vending-machine,Design a Vending Machine — Low-Level Design,content/java-backend-intermediate/low-level-design/vending-machine/complete-qa.json,legacy
cdn-edge-caching,F,high,,intermediate,system-design,caching-at-scale,CDN and Edge Caching: Reducing Latency for Global Users,content/java-backend-intermediate/system-design/caching-at-scale/complete-qa.json,legacy
design-distributed-cache,F,high,,intermediate,system-design,caching-at-scale,Distributed Caching Strategy — Patterns and Trade-offs,content/java-backend-intermediate/system-design/caching-at-scale/complete-qa.json,legacy
design-in-memory-kv-store-ttl-java,F,high,,intermediate,system-design,caching-at-scale,Design an In-Memory Key-Value Store with TTL,content/java-backend-intermediate/system-design/caching-at-scale/complete-qa.json,legacy
design-thread-safe-lru-cache-java,F,high,,intermediate,system-design,caching-at-scale,Design a Thread-Safe LRU Cache in Java,content/java-backend-intermediate/system-design/caching-at-scale/complete-qa.json,legacy
cap-theorem-trade-offs,F,high,,intermediate,system-design,cap-theorem,"CAP Theorem: Consistency, Availability, and Partition Tolerance Trade-offs",content/java-backend-intermediate/system-design/cap-theorem/complete-qa.json,legacy
back-of-envelope-estimation,F,high,,intermediate,system-design,capacity-planning,Back-of-Envelope Estimation: Capacity Planning for System Design,content/java-backend-intermediate/system-design/capacity-planning/complete-qa.json,legacy
database-replication-strategies,F,high,,intermediate,system-design,database-design-at-scale,"Database Replication: Master-Slave, Master-Master, and Quorum Reads",content/java-backend-intermediate/system-design/database-design-at-scale/complete-qa.json,legacy
api-gateway-pattern,F,high,,intermediate,system-design,design-fundamentals,API Gateway Pattern: Single Entry Point for Microservices,content/java-backend-intermediate/system-design/design-fundamentals/complete-qa.json,legacy
consistent-hashing,F,high,,intermediate,system-design,design-fundamentals,Consistent Hashing: How Distributed Systems Distribute Data,content/java-backend-intermediate/system-design/design-fundamentals/complete-qa.json,legacy
design-event-sourcing-audit-log,F,high,,intermediate,system-design,event-driven-design,Audit Log Design and Event Sourcing,content/java-backend-intermediate/system-design/event-driven-design/complete-qa.json,legacy
design-pubsub-event-bus-java,F,high,,intermediate,system-design,event-driven-design,Design a Pub/Sub Event Bus in Java,content/java-backend-intermediate/system-design/event-driven-design/complete-qa.json,legacy
message-queues-vs-event-streams,F,high,,intermediate,system-design,event-driven-design,Message Queues vs Event Streams: RabbitMQ vs Kafka Trade-offs,content/java-backend-intermediate/system-design/event-driven-design/complete-qa.json,legacy
design-retry-exponential-backoff-java,F,high,,intermediate,system-design,high-availability,Design a Retry Mechanism with Exponential Backoff,content/java-backend-intermediate/system-design/high-availability/complete-qa.json,legacy
load-balancing-strategies,F,high,,intermediate,system-design,load-balancing,"Load Balancing Strategies: Round Robin, Least Connections, Consistent Hashing",content/java-backend-intermediate/system-design/load-balancing/complete-qa.json,legacy
horizontal-vs-vertical-scaling,F,high,,intermediate,system-design,scalability,Horizontal vs Vertical Scaling: When to Scale Out vs Scale Up,content/java-backend-intermediate/system-design/scalability/complete-qa.json,legacy
design-connection-pool-manager-java,F,high,,intermediate,system-design,scenario-based,Design a Connection Pool Manager in Java,content/java-backend-intermediate/system-design/scenario-based/complete-qa.json,legacy
design-job-queue-system,F,high,,intermediate,system-design,scenario-based,Design a Background Job Queue System,content/java-backend-intermediate/system-design/scenario-based/complete-qa.json,legacy
design-rate-limiter-component-java,F,high,,intermediate,system-design,scenario-based,Design a Rate Limiter Component in Java (Code-Level),content/java-backend-intermediate/system-design/scenario-based/complete-qa.json,legacy
design-read-write-separation-cqrs,F,high,,intermediate,system-design,scenario-based,Read/Write Separation and CQRS Pattern,content/java-backend-intermediate/system-design/scenario-based/complete-qa.json,legacy
design-task-scheduler-job-queue-java,F,high,,intermediate,system-design,scenario-based,Design a Task Scheduler / Job Queue in Java,content/java-backend-intermediate/system-design/scenario-based/complete-qa.json,legacy
design-chat-messaging-system,F,high,,intermediate,system-design-cases,chat-system,Design a Chat/Messaging System (WhatsApp),content/java-backend-intermediate/system-design-cases/chat-system/complete-qa.json,legacy
design-notification-service,F,high,,intermediate,system-design-cases,notification-service,"Design a Notification Service (Email, SMS, Push)",content/java-backend-intermediate/system-design-cases/notification-service/complete-qa.json,legacy
design-api-idempotency-payments,F,high,,intermediate,system-design-cases,payment-system,Idempotent Payment API Design,content/java-backend-intermediate/system-design-cases/payment-system/complete-qa.json,legacy
design-ecommerce-order-management,F,high,,intermediate,system-design-cases,payment-system,Design an E-Commerce Order Management System,content/java-backend-intermediate/system-design-cases/payment-system/complete-qa.json,legacy
design-rate-limiter,F,high,,intermediate,system-design-cases,rate-limiter,Design a Distributed Rate Limiter,content/java-backend-intermediate/system-design-cases/rate-limiter/complete-qa.json,legacy
