slug,archetype,confidence,importance,difficulty,module,topic,title,file,status
mongodb-vs-dynamodb-managed-tradeoffs,B,high,high,medium,nosql-mongodb,comparisons,MongoDB Atlas vs DynamoDB: Managed Trade-offs,content/java-backend-intermediate/nosql-mongodb/comparisons/complete-qa.json,done-warn
mongodb-vs-dynamodb-vs-cassandra-vs-postgres-jsonb,B,high,high,medium,nosql-mongodb,comparisons,MongoDB vs DynamoDB vs Cassandra vs Postgres JSONB,content/java-backend-intermediate/nosql-mongodb/comparisons/complete-qa.json,legacy
mongodb-vs-postgres-jsonb-when-each-wins,B,high,high,medium,nosql-mongodb,comparisons,MongoDB vs Postgres JSONB: When Each Wins,content/java-backend-intermediate/nosql-mongodb/comparisons/complete-qa.json,legacy
mongodb-document-model-vs-relational-model,B,medium,high,medium,nosql-mongodb,document-model,MongoDB Document Model vs Relational Model,content/java-backend-intermediate/nosql-mongodb/document-model/complete-qa.json,legacy
mongodb-embedding-vs-referencing-documents,B,medium,high,medium,nosql-mongodb,document-model,Embedding vs Referencing Documents in MongoDB,content/java-backend-intermediate/nosql-mongodb/document-model/complete-qa.json,legacy
mongodb-aggregation-pipeline-match-group-lookup,A,medium,high,medium,nosql-mongodb,mongodb-core,"MongoDB Aggregation Pipeline: $match, $group, $lookup",content/java-backend-intermediate/nosql-mongodb/mongodb-core/complete-qa.json,legacy
mongodb-multi-document-acid-transactions,A,medium,high,medium,nosql-mongodb,mongodb-core,MongoDB Multi-Document ACID Transactions,content/java-backend-intermediate/nosql-mongodb/mongodb-core/complete-qa.json,legacy
mongodb-performance-explain-query-optimization,A,medium,high,medium,nosql-mongodb,mongodb-core,MongoDB Performance: `explain()` and Query Optimization,content/java-backend-intermediate/nosql-mongodb/mongodb-core/complete-qa.json,legacy
mongodb-replica-sets-read-preferences,A,medium,high,medium,nosql-mongodb,mongodb-core,MongoDB Replica Sets and Read Preferences,content/java-backend-intermediate/nosql-mongodb/mongodb-core/complete-qa.json,legacy
mongodb-covered-queries-and-esr-rule,A,medium,high,medium,nosql-mongodb,mongodb-indexes,MongoDB Covered Queries and the ESR Rule,content/java-backend-intermediate/nosql-mongodb/mongodb-indexes/complete-qa.json,legacy
mongodb-indexing-compound-sparse-ttl,A,medium,high,medium,nosql-mongodb,mongodb-indexes,"MongoDB Indexes: Compound, Sparse, Partial, TTL",content/java-backend-intermediate/nosql-mongodb/mongodb-indexes/complete-qa.json,legacy
mongodb-text-indexes-vs-atlas-search,B,medium,high,medium,nosql-mongodb,mongodb-indexes,MongoDB Text Indexes vs Atlas Search,content/java-backend-intermediate/nosql-mongodb/mongodb-indexes/complete-qa.json,legacy
mongodb-change-streams-spring-data,A,medium,high,medium,nosql-mongodb,mongodb-with-spring,MongoDB Change Streams with Spring Data,content/java-backend-intermediate/nosql-mongodb/mongodb-with-spring/complete-qa.json,legacy
spring-data-mongodb-repository-queries,A,medium,high,medium,nosql-mongodb,mongodb-with-spring,Spring Data MongoDB Repository Queries,content/java-backend-intermediate/nosql-mongodb/mongodb-with-spring/complete-qa.json,legacy
cap-theorem-and-base-vs-acid,B,medium,high,medium,nosql-mongodb,nosql-fundamentals,CAP Theorem Deep-Dive and BASE vs ACID,content/java-backend-intermediate/nosql-mongodb/nosql-fundamentals/complete-qa.json,legacy
mongodb-write-concern-and-read-concern-consistency,A,medium,high,medium,nosql-mongodb,nosql-fundamentals,"MongoDB Write Concern, Read Concern, and Read Preference",content/java-backend-intermediate/nosql-mongodb/nosql-fundamentals/complete-qa.json,legacy
mongodb-bucket-pattern-time-series,A,medium,high,medium,nosql-mongodb,nosql-patterns,MongoDB Bucket Pattern for Time-Series,content/java-backend-intermediate/nosql-mongodb/nosql-patterns/complete-qa.json,legacy
mongodb-schema-versioning-pattern,A,medium,high,medium,nosql-mongodb,nosql-patterns,MongoDB Schema Versioning Pattern,content/java-backend-intermediate/nosql-mongodb/nosql-patterns/complete-qa.json,legacy
mongodb-subset-and-computed-pattern,A,medium,high,medium,nosql-mongodb,nosql-patterns,MongoDB Subset and Computed Patterns,content/java-backend-intermediate/nosql-mongodb/nosql-patterns/complete-qa.json,legacy
handling-mongodb-schema-evolution-in-prod,D,high,high,medium,nosql-mongodb,scenario-based,Handling MongoDB Schema Evolution in Production,content/java-backend-intermediate/nosql-mongodb/scenario-based/complete-qa.json,legacy
mongodb-sharding-shard-keys-chunks-balancer,A,medium,high,hard,nosql-mongodb,mongodb-core,"MongoDB Sharding: Shard Keys, Chunks, Balancer, Zones",content/java-backend-intermediate/nosql-mongodb/mongodb-core/complete-qa.json,legacy
dynamodb-single-table-design-patterns,A,low,high,hard,nosql-mongodb,nosql-patterns,DynamoDB Single-Table Design,content/java-backend-intermediate/nosql-mongodb/nosql-patterns/complete-qa.json,legacy
migrating-mongodb-to-postgres-jsonb,D,high,high,hard,nosql-mongodb,scenario-based,Migrating MongoDB to Postgres JSONB,content/java-backend-intermediate/nosql-mongodb/scenario-based/complete-qa.json,legacy
