slug,archetype,confidence,importance,difficulty,module,topic,title,file,status
datasource-properties,A,medium,high,easy,spring-boot,profiles-and-properties,Essential DataSource Properties in Spring Boot,content/java-backend-intermediate/spring-boot/profiles-and-properties/complete-qa.json,done
ddl-auto,A,medium,high,easy,spring-boot,profiles-and-properties,spring.jpa.hibernate.ddl-auto Values Explained,content/java-backend-intermediate/spring-boot/profiles-and-properties/complete-qa.json,legacy
server-port,A,medium,high,easy,spring-boot,profiles-and-properties,Configuring the Server Port in Spring Boot,content/java-backend-intermediate/spring-boot/profiles-and-properties/complete-qa.json,legacy
value-annotation-property-injection,A,medium,high,easy,spring-core,dependency-injection,@Value and Property Injection — Externalized Configuration,content/java-backend-intermediate/spring-core/dependency-injection/complete-qa.json,legacy
webclient-vs-resttemplate-comparison,B,high,high,easy,spring-webflux,comparisons,WebClient vs RestTemplate — Reactive vs Blocking HTTP Clients,content/java-backend-intermediate/spring-webflux/comparisons/complete-qa.json,legacy
mono-vs-flux-when-to-use,B,medium,high,easy,spring-webflux,mono-and-flux,Mono vs Flux — Choosing the Right Type and Converting Between Them,content/java-backend-intermediate/spring-webflux/mono-and-flux/complete-qa.json,legacy
spring-batch-retry-skip-logic,A,medium,high,medium,spring-batch,batch-error-handling,Spring Batch Retry and Skip Logic for Fault-Tolerant Jobs,content/java-backend-intermediate/spring-batch/batch-error-handling/complete-qa.json,legacy
spring-batch-core-concepts-job-step-chunk-tasklet,A,medium,high,medium,spring-batch,batch-fundamentals,"Spring Batch Core Concepts: Job, Step, Chunk, and Tasklet",content/java-backend-intermediate/spring-batch/batch-fundamentals/complete-qa.json,legacy
spring-batch-vs-plain-jdbc-batch-when-to-use,B,medium,high,medium,spring-batch,batch-fundamentals,Spring Batch vs Plain JDBC Batch — When the Framework Earns Its Weight,content/java-backend-intermediate/spring-batch/batch-fundamentals/complete-qa.json,legacy
spring-batch-chunk-processing-vs-tasklet,A,medium,high,medium,spring-batch,chunk-processing,Spring Batch: Chunk-Oriented Processing End-to-End,content/java-backend-intermediate/spring-batch/chunk-processing/complete-qa.json,legacy
spring-batch-itemreader-itemprocessor-itemwriter-chunk-processing,A,medium,high,medium,spring-batch,item-reader-writer-processor,"ItemReader, ItemProcessor, and ItemWriter: Chunk Processing in Spring Batch",content/java-backend-intermediate/spring-batch/item-reader-writer-processor/complete-qa.json,legacy
